Strain,Genetics,THC
Climax Autoflowering,Indica/sativa autoflowering,Medium
Cluster Bomb,Indica-dominant,15-20%
Cobra Autoflowering,Indica/sativa autoflowering,19%
Cocoa Kush,Indica/sativa (50/50),Medium
Cole Train,Indica-dominant (70%),Medium
Colombian,Sativa (90-100%),High
Colombian Sweet,Indica-dominant (60%),Medium
Coma Cluster,Indica/sativa (50/50),High
Confidencial Medicine,Indica-dominant (80%),Medium
Confidencial OG,Indica (100%),Medium
Congo,Sativa-dominant (70%),15%
Conspiracy Kush,Indica-dominant (70%),Medium
Cookies And Cream Cheese,Indica-dominant (80%),Medium
Cookies Haze,Sativa-dominant,23-25%
Cookies Kush,Indica-dominant (70%),High
Cotton Bud Autoflowering,Indica-dominant autoflowering,12%
Cotton Candy Kush,Sativa-dominant (75%),Medium
Crazy Miss Hyde,Indica-dominant (70%),21%
Crazy Miss Hyde Autoflowering,Indica-dominant (70%),Medium
Cream Caramel,Indica (90-100%),15-20%
Cream caramel - F1 Fast Version,Indica (90-100%),15-20%
Cream Caramel Autoflowering,Indica-dominant (85%) autoflowering,18%
Cream Caramel CBD,Indica-dominant (70%),7-15%
Cream Cookies Autoflowering,Indica-dominant autoflowering,High
Cream Mandarine Autoflowering,Indica-dominant (60%) autoflowering,18-20%
Crimea Blue,Indica-dominant (80%),18%
Criminal +,Indica-dominant (80%),Medium
Critical,Indica-dominant (60%),18%
Critical 47,Indica-dominant,15-18%
Critical 47 Express,Indica-dominant autoflowering,Medium
Critical AK Autoflowering,Indica-dominant autoflowering,18%
Critical Autoflowering,Indica-dominant autoflowering,Medium
Critical Cheese,Indica-dominant,High
Critical Cheese Autoflowering,Indica-dominant autoflowering,High
Critical Diesel Autoflowering,Indica/sativa autoflowering,18%
Critical Haze,Sativa-dominant (60%),18-22%
Critical HOG,Indica-dominant,Medium
Critical Impact,Indica-dominant (80%),18%
Critical Jack,Sativa-dominant (60%),High
Critical Jack Autoflowering,Indica-dominant (60%) autoflowering,10-14%
Critical Jack Herer,Sativa-dominant (80%),20%
Critical Jack Herer Autoflowering,Sativa-dominant autoflowering,18%
Critical Kali Mist,Sativa-dominant (80%),22%
Critical Kush,Indica (90-100%),20-25%
Critical Kush Autoflowering,Indica-dominant (90%) autoflowering,Medium
Critical Lemon,Indica-dominant,19%
Critical Magic,Indica-dominant,17-20%
Critical Mango,Indica-dominant (75%),18%
Critical Mass,Indica-dominant,20-21%
Critical Mass 33,Indica/sativa,Medium
Critical Mass Autoflowering,Indica-dominant (60%) autoflowering,Medium
Critical Mass CBD,Indica-dominant (80%),5%
Critical Neville Haze 2.0,Sativa (90-100%),23-24%
Critical Neville Haze Autoflowering,Sativa-dominant (90%) autoflowering,21%
Critical Orange Punch,Indica/sativa,High
Critical Purple Kush,Indica-dominant,18%
Critical Sensi Star,Indica (90-100%),24-25%
Critical Skunk,Indica-dominant,19%
Critical Soma,Indica/sativa,18%
Critical Super Silver Haze,Sativa-dominant (70%),21%
Critical+,Indica/sativa (50/50),High
Critical+ 2.0,Indica-dominant (70%),16-20%
Critical+ 2.0 Autoflowering,Indica-dominant autoflowering,Medium
Critical+ Autoflowering,Indica-dominant (60%) autoflowering,Medium
Crockett's Dawg,Indica-dominant (60%),Medium
Crockett's Haze,Sativa-dominant (80%),High
Crockett's Sour Tangie,Sativa-dominant (80%),High
Crockett's Tangie,Sativa-dominant (70%),Medium
Crocketts Confidential,Indica-dominant (70%),Medium
Crystal Candy,Indica-dominant (60%),15-21%
Crystal Candy - F1 Fast Version,Indica-dominant (60%),15-21%
Crystal Candy Autoflowering,Indica-dominant (60%) autoflowering,14-19%
Crystal Cloud,Sativa-dominant (70%),21%
Crystal Meth,Sativa-dominant autoflowering,Medium
Crystal Queen,Indica-dominant (60%),20%
Crystal White,Indica-dominant (80%),High
Cum Laude,Sativa (90-100%),Medium
Currant Kush,Indica/sativa (50/50),21-22%
Cuvée,Indica/sativa,Medium
Daddy's Girl,Sativa-dominant (80%),Medium
Dairy Queen,Sativa-dominant (60%),Medium
Dama Blanca,Sativa-dominant,High
Damn Sour,Sativa-dominant (60%),17%
Damnesia,Sativa-dominant (60%),Medium
Damnesia Autoflowering,Indica-dominant (60%) autoflowering,Medium
Dance World,Sativa-dominant (75%),12%
Dancehall,Sativa-dominant,Medium
Dark Devil Autoflowering,Indica/sativa autoflowering,Medium
Dark Dragon,Indica/sativa (50/50),High
Dark Rhino,Indica-dominant (75%),High
Darkling Sativa,Sativa,Medium
Darkstar Kush,Indica-dominant,Medium
Dawg Star,Indica-dominant,Medium
Deadhead OG,Indica-dominant,Medium
Deadlights,Sativa-dominant (65%),Low
Dedoverde Haze,Sativa-dominant (80%),18-24%
Deep Cheese,Indica/sativa,High
Deep Chunk,Indica (100%),Medium
Deep Purple,Indica-dominant (85%),Medium
Deimos,Indica-dominant autoflowering,Medium
Delahaze,Sativa-dominant (70%),High
Delicious Candy,Indica-dominant (80%),22-23%
Desert Diesel,Sativa-dominant (55%),
Desert Queen,Indica-dominant (60%),Medium
Desfrán,Sativa (90-100%),High
Destroyer,Sativa (90-100%),20%
Devil,Indica-dominant,Medium
Devil Cream Autoflowering,Indica/sativa autoflowering,Medium
Devil Fruit,Indica-dominant (70%),15-20%
DFA Autoflowering,Indica-dominant autoflowering,16%
Diamond Girl,Indica-dominant (60%),15%
Diesel,Sativa-dominant (60%),12-16%
Diesel Autoflowering,Sativa-dominant autoflowering,14%
Diesel Berry Autoflowering,Indica/sativa autoflowering,High
Diesel Dipped Cookies,Indica-dominant,Medium
Diesel Glue,Sativa-dominant,18-19%
Diesel Haze Autoflowering,Sativa-dominant (70%) autoflowering,17%
Diesel Kush,Sativa-dominant (60%),High
Diesel Ryder,Indica/sativa autoflowering,17-19%
Dieseltonic,Indica/sativa (50/50),Medium
Dinachem,Sativa-dominant (65%),18-23%
Dinamed CBD,Sativa-dominant (60%),0.50%
Dinamed CBD Autoflowering,Indica-dominant (60%) autoflowering,0.3-0.8%
Dinamed CBD Plus,Sativa-dominant (60%),0.5-1%
Dinamex,Indica/sativa,High
Dinamex Autoflowering,Sativa-dominant autoflowering,High
DJ’s Gold,Sativa-dominant (55%),Medium
Doctor Jamaica,Indica/sativa (50/50),15%
Dominator,Sativa-dominant,Medium
Double Alien 18,Indica-dominant (60%),Medium
Double Diesel Ryder,Sativa-dominant autoflowering,Medium
Double Dutch,Indica-dominant,High
Double Glock,Indica (100%),Medium
Double Tangie Banana,Indica-dominant (60%),Medium
Double White,Indica-dominant (60%),Medium
Douce Nuit,Indica-dominant (80%),Medium
Dr Greenthumb’s Em-Dog,Indica-dominant (70%),20-27%
Dr. Greenthumb's  Dedoverde Haze Autoflowering,Sativa-dominant (80%) autoflowering,13-16%
Dr. Grinspoon,Sativa (100%),High
Dr. Who,Indica-dominant (60%),High
Dreamberry,Sativa-dominant autoflowering,High
Dulce De Leche,Indica-dominant autoflowering,Medium
Durban,Sativa (90-100%),High
Durban Magic,Sativa (90-100%),High
Durban Poison,Sativa-dominant,High
Durban-Thai x C99,Sativa-dominant,High
Durga Mata,Indica (90-100%),18-22%
Durga Mata II CBD,Indica (90-100%),8.50%
Dutch Cheese,Sativa-dominant (60%),12-15%
Dutch Dragon,Sativa-dominant (75%),17-21%
Dutch Haze,Sativa (90-100%),12-14%
Dutch Kush,Indica-dominant (80%),Medium
Dynamite,Indica-dominant (75%),20%
Eagle Bill,Sativa-dominant (70%),Medium
Early Amnesia CBD,Sativa-dominant (65%),9.50%
Early Pearl,Sativa-dominant (75%),Medium
Early Pearl Skunk x Haze,Sativa-dominant,Medium
Early Queen,Indica-dominant,Medium
Early Skunk,Indica-dominant (65%),Medium
Early Skunk Autoflowering,Indica-dominant (70%) autoflowering,Medium
Early Skunk Haze,Sativa-dominant,Medium
