,Strain,Rating,NumReviews,Strain_description,THC,Lean,Sweet,Strawberry,Earthy,Cheese,Sage,Honey,Rose,Tree,Violet,Coffee,Pear,Spicy/Herbal,Tropical,Pungent,Tea,Apricot,Mint,Pepper,Flowery,Ammonia,Blueberry,Berry,Chemical,Pine,Woody,Lime,Plum,Nutty,Fruit,Citrus,Orange,Mango,Diesel,Lemon,Pineapple,Apple,Grape,Menthol,Chestnut,Skunk,Grapefruit,Blue,Peach,Butter,Lavender,Tar,Tobacco,Vanilla,Eff_Focused,Med_Inflammation,Eff_Dizzy,Eff_Energetic,Eff_Dry_eyes,Med_Lack_of_appetite,Eff_Happy,Eff_Creative,Med_Muscle_spasms,Eff_Sleepy,Med_Stress,Eff_Tingly,Eff_Aroused,Eff_Anxious,Med_Nausea,Med_Fatigue,Med_Cramps,Eff_Uplifted,Eff_Headache,Eff_Talkative,Eff_Paranoid,Eff_Hungry,Eff_Giggly,Med_Depression,Eff_Relaxed,Med_Pain,Med_Seizures,Eff_Euphoric,Med_Spasticity,Med_Eye_pressure,Eff_Dry_mouth,Med_Headaches,Med_Insomnia,Rating_scaled,Num_reviews_scaled,THC_scaled
783,Don's Ghost,,0,"Verano Brands took the Don Cut of their Corleone Kush and crossed it with Rare Dankness' famous Ghost Train Haze to create Don's Ghost. Buds are dense and coated in large white trichomes, just like both of its parents. Drawing from Haze and OG genetics, its flavor profile is more like Haze, with citrus, floral, and earthy notes.",,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
784,Donegal,4.020833333,48,Donegal is a variety of Chemdawg grown by Canadian LP Tweed. It is a sativa-dominant hybrid that is potent but will still allow you to maintain your typical routine. The flavors of Donegal are a mix of citrus and pungent diesel notes that give way to the heady effects that are first felt around the crown of your head and provide an uplifted mood and a rush of creativity.,,0.25,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.728971963,0.724489796,0.542056075,,0.734693878,,,,0.890243902,,,1,,0.469512195,,0.673469388,0.504672897,,,,,1,0.591836735,0.365853659,,1,,,0.728971963,,0.37195122,0.755208333,0.003921569,
785,Donkey Butter,4.857142857,14,"Donkey Butter by Exotic Genetix is a vivid naming of a pungent phenotype. Created from a Grease Monkey mother and a Triple OG father, this strain comes loaded with loud fuel-forward aromas intermixed with a fragrant dose of forest and earth. Donkey Butter is a heavy producer and expresses dark leaves with deep colors. This funky flower leans toward sedation, weighing heavy on the limbs and relaxing the mind. Its physical and mental dullness can blunt stress, pain, and the pangs of daily living.",21,0.7,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,0.411764706,1,,,,,0.4,,0.529411765,,,,,,0.9,0.647058824,1,,0.588235294,,,1,0.5,,0.964285714,0.001143791,0.673202614
786,Donna OG,4.604938272,81,"Donna OG is a 50/50 hybrid cross between two OG varieties, resulting in a powerful strain with a sweet, pine aroma. Vector Beans of Cannagen Consulting in Los Angeles created Donna OG by combining Mary OG with Larry OG, and then backcrossing once again with a ML11 phenotype of the Mary OG. Donna OG blooms in purple hues, growing tightly and compactly under a blanket of THC-rich resin. Consumers can experience a wide spectrum of effects with Donna OG, including dreamy euphoria, sharpened hunger, and relaxing sedation.",15,0.5,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090909091,,0.636363636,,0.771345029,,,,0.694885362,,,,,,,0.851461988,,,,0.237426901,,0.684303351,1,0.705467372,,0.861988304,,,1,0.647266314,1,0.901234568,0.006617647,0.477124183
787,Doobiebird Daydream,4.6,10,Doobiebird Daydream is another Blue Dream hybrid that combines its famous creative relaxation with the medicinal qualities of Sanjay Gupta Kush. The Doobiebird was also the Colorado Seed Inc. mascot until Colorado State law prohibited cartoon characters to be associated with dispensaries. This hybrid expresses itself with the lime green buds of Blue Dream and a Kush aroma with a hint of skunk. Expect uplifted and motivational attributes that are grounded in a stabilizing body buzz that goes full sedation with heavier dosing.,,0.52,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,0.64,,,,,,0.86,1,,,,,1,0.82,,,0.89,,0.694444444,1,0.194444444,,0.9,0.000816993,
788,Doox,4.4,5,"Doox is a sativa-dominant hybrid strain bred from Purple Cow and the legendary hybrid Chemdawg. The effects will set in quickly, delivering an intense body buzz coupled with dreamy euphoria. Doox flowers typically bloom in pale pastel greens masked by a dense coat of frosty resin. Pungent and skunky, this strain is sure to fill the room with its strong sour aroma.",,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,0.5,1,,1,,,0.75,,1,,,0.25,,,,1,,1,,,,,,1,,1,,,,,1,,,0.85,0.000408497,
789,Dopium,4.52173913,21,"Dopium, a cross between ChemDawg and Sour Diesel, has a unique scent while keeping elements of that classic Sour Diesel smell. Described as delivering relaxing and mellow effects, Dopium has the sharp spice of diesel with floral hints.",,0.44,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.615384615,,0.125,,0.625,,0.692307692,,,,1,,,,0.461538462,,,0.769230769,0.375,,0.375,,,0.923076923,0.769230769,0.769230769,,1,,,1,0.307692308,,0.880434783,0.001715686,
790,Dorit,4.5,7,"Dorit is a 70/30 indica-dominant strain tailored for patients treating pain, inflammation, indigestion, appetite loss, nausea, and sleep disorders. Bred in Israel by Tikun Olam, this strain inherits its name from Dorit Cohen, who helped found the company.",,0.7,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,0.052631579,0.5,0.105263158,,,,,,0.789473684,,,,,,,1,0.5,,0.894736842,,,,,,0.875,0.000571895,
791,Double Barrel OG,4.2,4,"Double Barrel OG offers a double shot of OG genetics as this hybrid combines White Fire OG with Raskal's OG Kush. Its dense, resin-packed buds give rise to flavors both sweet and sour, a pungent fusion of sweet lemons and fuel-drenched pine. This hybrid travels straight to the head, launching you into thick euphoric lucidity that lets you forget any heaviness in mind or body. As the acute effects settle, Double Barrel OG eases you into a motivated and functional buzz perfect for afternoon productivity.",20,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,0.25,1,,,0.5,,,0.5,,0.5,,0.5,0.5,,0.5,1,1,,0.5,,,1,1,,0.8,0.000326797,0.640522876
792,Double Diesel,4.294117647,37,"Double Diesel is the sativa-dominant result of a cross between award-winning NYC Diesel and Sour Diesel. These plants are easy to grow and their lime green buds will give off a strong diesel-y odor with some grapefruit added in. The grapefruit notes overpower the taste, giving this strain a unique musky fruit flavor. Its effects are happy and uplifting, but not usually as energetic as some other sativas. Overall, it's a good choice for a laid-back medicated time.",,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,0.076923077,0.974619289,0.769230769,,1,1,,,0.99009901,,,,,0.079207921,,0.54822335,0.153846154,,0.230769231,,,1,0.959390863,0.108910891,,,,,1,,0.04950495,0.823529412,0.003022876,
793,Double Dream,4.5,318,"The sativa-dominant hybrid Double Dream puts a unique spin on the famed Blue Dream by crossing it with Dream Star. With a complex flavor profile that synchronizes sweet floral notes with berries and spice, Double Dream is a soothing and mentally invigorating strain that still allows clear-headed functionality. Its dreamy, euphoric buzz is anchored by a deep, physical relaxation that mutes pain, anxiety, stress, and inflammation. Patients also turn to this uplifting strain for daytime release from PTSD, headaches, and nausea.",20,0.4,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814783586,,0.412380122,,0.319093287,,1,,,,0.987018096,,,0.222319093,0.394571204,0.444138474,,0.888982574,,,0.081081081,,,1,0.844294547,0.546813533,,0.865092749,,,1,,,0.875,0.025980392,0.640522876
794,Double Dutch,4.315789474,19,"Double Dutch is a classic hybrid strain bred by Magus Genetics who crossed a pre-2000 Chronic female with a Warlock father. This 60/40 indica-dominant split has a strong Dutch heritage with emphasized indica traits. In its vegetative cycle, Double Dutch erupts into a bushy plant with thick leaves and strong stems, while its flowering stage gives rise to sativa-like popcorn buds after 8 to 9 weeks. With an aroma that brings to mind fresh fruit and fields of wildflowers, Double Dutch is cherished for its powerfully relaxing effects that flood both body and mind without causing too much drowsiness.",16.5,0.55,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.012345679,,,,,,,,1,,,,,0.018518519,0.018518519,1,0.012345679,,,0.37037037,0.660493827,0.990740741,0.666666667,,,0.672839506,,,1,,0.981481481,0.828947368,0.001552288,0.526143791
795,Double Mint,4.4,5,"Double Mint by Natural Genetics Seeds is an indica-dominant cross of signature genetics. By pairing SinMint Cookies with Mint Chocolate Chip, NSG backcrosses Mint Chocolate Chip with its mother plant, reinforcing the sweet, minty terpenes of this strain's resinous, rock-like buds. Double Mint has a punctual 63-day flowering time and generous resin production, making it a perfect strain for extraction. Its sedative effects and mind-numbing euphoria make it an ideal “end of the day” strain to shrug off stress and be so chill, you're minty.",17,0.8,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,0.076923077,0.823529412,,,0.764705882,1,,,,,,,0.882352941,,,,,,0.923076923,1,0.923076923,,0.176470588,,,,,1,0.85,0.000408497,0.54248366
796,Double OG,4.653846154,27,"Double OG combines the powerhouse indica properties of Big Bud Afgoo and SFV OG to create a sedating strain ideal for body aches and sleepless nights. Though often regarded as too potent for novices, Double OG's knock-out effects are well-suited for experienced consumers with a high THC tolerance. Deep relaxation of the mind and body brings relief to stress and anxiety, while also calming muscle spasms, tremors, and pain.",20,0.8,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0.025689819,,0.066603235,,0.878210439,,,0.913835957,,,,0.017126546,,1,,,0.017126546,,,,0.84092792,0.028301887,0.936205468,0.047169811,,1,,,1,0.028301887,0.037735849,0.913461538,0.002205882,0.640522876
797,Double Purple Doja,4.652173913,23,"Double Purple Doja is an indica strain that crosses Sputnik #1 with Black Russian, a parentage that gives rise to powerfully euphoric effects and a musky blackberry aroma. This indica is best saved for late night use, but its sedating qualities won't entirely pull the plug on social or creative activities if enjoyed earlier in the day. Most notable is its deep purple coloration, and breeders often turn to Double Purple Doja genetics when creating new purple varieties. Though originally bred by TGA Genetics, Double Purple Doja is largely propagated by breeders Outlaw and Matthew Riot.",,0.77,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0.571428571,0.5,0.6,,0.8,,,0.25,,,,0.428571429,,,,,,,1,1,,0.5,,,1,0.4,0.5,0.913043478,0.001879085,
798,Double Tangie Banana,4.460784314,102,"Double Tangie Banana is a sativa-dominant hybrid strain developed by Crockett Family Farms. Supposedly a cross between Banana Sherbert and DNA Genetics' orange-flavored Tangie, Double Tangie Banana oozes with crystal resin and citrus aromas. Anyone who has tried Tangie knows that this strain was primarily bred for the flavor enthusiasts, so if you're searching for a strain with an impressive terpene profile, look no further.",15,0.435,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0.104340568,0.584576914,1,,0.706380576,1,,,0.366386254,,0.492941841,0.083472454,,0.31931269,,,0.104340568,,,,,0.457848577,,0.252371577,,0.57554247,,1,0.489983306,,,0.865196078,0.008333333,0.477124183
799,Double Tap,5,2,"Double Tap by Mr. Mack's Snacks is a potent cannabis strain designed for high-tolerance consumers. The strain's Monster Cookies x Yeti OG x Bloo's Kloos heritage boasts large yields and potency well over 20% THC. Double Tap's Bloo's Kloos ancestry also gives this strain sweet and aromatic flavors of berry, pine, grape, and fuel. This heavy indica should be consumed sparingly. As the name implies, Double Tap takes you out and puts you down, leaving the body sedated and the mind relaxed.",21,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111111111,,,0.888888889,,,,,,,,,,0.111111111,,,,,1,,,0.888888889,,,,,,1,0.000163399,0.673202614
800,Doug's Varin,4.933333333,15,"Doug's Varin is a rare sativa strain that was specially crafted to contain high amounts of the cannabinoid THCV, a psychoactive cannabis compound known to relieve panic attacks, Parkinson's tremors, stimulate bone growth, and provide a burst of energy. Patient's suffering from anorexia and appetite loss should steer clear of Doug's Varin, as THCV also suppresses hunger. With an aroma of earthy pine and sweet citrus, Doug's Varin delivers a clear-headed burst of mental stimulation that doesn't last as long as high-THC varieties, making this strain a perfect choice for anyone seeking short-term effects.",,0.04,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,0.666666667,,1,,,,0.904761905,,,0.833333333,,,,0.5,1,,0.952380952,,,,,,0.666666667,,,,0.952380952,,,,,,0.983333333,0.00122549,
801,Dr. Bubbles,4.75,4,"Dr. Bubbles is a delicious strain with roots in Y2K Bubble Gum and Gupta Kush. This lip-smacking marriage of flavors creates a sweet and decidedly floral combination that is pleasant but not debilitating. Colorado Seed Inc. bred this strain to boost the yield of Bubble Gum with the hearty genetics of Dr. Gupta, leading to stalky aromatic plants that finish in approximately 8 to 9 weeks.",10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9375,0.000326797,0.31372549
802,Dr. Clemenstein,,0,"Bred by Plantworks, Dr. Clemenstein is a sativa-dominant hybrid cross of Clementine and GSC. Buds appear super frosty with bright orange hairs. Aromas tend to by of smooth citrus, with GSC-inspired flavors to follow.",,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
803,Dr. Feelgood,4.6,3,"Dr. Feelgood is a beautiful blend of flavors and effects that possesses a tangible medical bent. This cross developed by Colorado Seed Inc. is a blend of Harlequin and Gupta Kush. Mixing the powerful CBD generation of Harlequin with the medical-grade body effects of Dr. Sanjay Gupta Kush creates a strain focused on physical wellness. With equal parts anti-inflammatory and analgesic effects, Dr. Feelgood abates anxiety and culls chronic pain with confidence.",16,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.909090909,,,0.136363636,,,,1,1,,,,,0.5,,,,,,,0.5,0.136363636,,,1,,0.5,1,,0.5,0.9,0.000245098,0.509803922
804,Dr. Funk,4.5,33,"Dr. Funk is a mostly indica strain that balances genetics from Blueberry and Bubba Kush. You can taste this strain's lineage as flavors of sweet berry and earthy sharpness activate on the exhale. Its tight, compact buds and orange hair-like pistils are obscured under a thick dusting of crystal trichomes, which hint at Dr. Funk's potency.",18,0.8,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,0.785714286,,,,1,0.5,,,,,,0.5,0.166666667,,,,,0.375,1,0.625,,0.785714286,,,1,0.375,0.75,0.875,0.002696078,0.575163399
805,Dr. Grinspoon,4.80952381,63,"Dr. Grinspoon, a pure sativa heirloom bred by Barney's Farm in Amsterdam, is a strain destined for connoisseurs and intellectuals alike. In honor of the Harvard professor and cannabis advocate, this strain was named after Lester Grinspoon, who set out to correct misinformed science in the 1970s. As if channeling the brilliance of Dr. Grinspoon himself, this sativa is a top choice for creative, introspective thinkers as it induces heightened cerebral activity and sensory awareness. Dr. Grinspoon buds, imbued with rich earthy and honey flavors, grow like berries on twig stalks in unusually gapped popcorn formations. Because of its structure, Dr. Grinspoon typically delivers smaller harvests after a 13-14 week flowering time. This indoor preferred strain requires time and patience, but few cannabis varieties can impress connoisseurs like these frost coated gems. Patients with mood disorders, attention deficit, and chronic pain may find relief in the euphoric and invigorating experience that defines this legendary sativa.",15,0,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0.762779553,,0.024590164,0.941693291,0.036885246,,,0.905750799,1,,0.402061856,,,,,0.278350515,,1,0.006147541,,0.012295082,,,0.525773196,,0.278350515,,0.980830671,,,1,,,0.952380952,0.005147059,0.477124183
806,Dr. Quantum,4,1,"Dr. Quantum is an indica-dominant cross of Dr. Who and Quantum Kush, and it strikes a balance between potency and playfulness. The strain hits fast with a heady, giggly buzz that is easy on the body. Dr. Quantum has a deep citrus perfume aroma with earthy, floral undertones. Utilize this strain to release stress and indulge in the carefree whimsy only cannabis can offer.",22,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,1,,1,0.75,8.17E-05,0.705882353
807,Dr. Who,4.504672897,433,"Navigate the planes of time and space with Dr. Who, a potent indica hybrid originally from Homegrown Natural Wonders who wittily combined parent strains Mad Scientist and Timewreck. This 60% indica strain can deliver swift relief to pain, stress, appetite loss, multiple sclerosis, ADHD, mood disorders, and nausea without lethargy or sedation, making Dr. Who a good choice for any time of the day. Its effects are precluded by a sweet and sour aroma of pineapple and grape. Dr. Who flowers in 56 to 63 days indoors, but also grows well in outdoor gardens.",17.5,0.5,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,0.479956055,0.403841624,0.090576136,,0.222361931,,1,,,,1,,,0.120366251,,,,0.703563038,0.05099784,,,,,0.64262359,0.924164522,0.803035714,,0.636040789,,,1,,0.436214805,0.876168224,0.035375817,0.558823529
808,Dragon OG,4.416666667,24,"Dragon OG (or Red Dragon OG) is a sativa-dominant hybrid cross between Red Dragon and OG Kush. Red Dragon adds gentle invigoration to OG Kush's mid-level sedation and pleasant euphoria. This heady hybrid offers mood-boosting mental stimulation and relaxing body effects that stick to the bones. Enjoy this strain throughout the day to boost creativity and combat moderate pain, but beware: this potent combination can be overstimulating in large doses.",,0.3,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.570405728,,0.429594272,,0.803625378,,,,1,0.708459215,,0.429594272,,0.73540856,,0.728096677,0.429594272,0.64652568,,,,0.964980545,1,0.805447471,,,,,1,0.929961089,,0.854166667,0.001960784,
809,Dragon Punch,,0,"Named after one of the most famous moves in arcade video games, Dragon Punch delivers a K.O. to its smokers. Bred by Riverview Gardens LLC in southern Humboldt, this strain crosses Blueberry Muffins with Dragonberry. The resulting hybrid has a beautiful dark purple hue and smells like sweet blueberries while packing a soaring high.",,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
