Strain,Type,Pct,THC_max,THC_avg
Dream Girl,hybrid,50%,22.00%,21.00%
Dream Lotus,hybrid,50%,21.00%,10.00%
Dream Machine,indica,60% Leaning,19.00%,18.00%
Dream Police,hybrid,50%,18.00%,16.00%
Dream Queen,sativa,80% Leaning,19.00%,15.00%
Dream Star,indica,60% Leaning,25.00%,20.00%
Dreamcatcher,indica,60% Leaning,26.00%,24.00%
Dreamer's Glass,sativa,50%,22.00%,19.00%
Duke Nukem,sativa,65% Leaning,20.00%,15.00%
Durban Cheese,hybrid,50%,21.00%,18.00%
Durban Poison,sativa,100%,25.50%,16.30%
Dutch Berry,sativa,60% Leaning,27.00%,19.00%
Dutch Dragon,sativa,75% Leaning,20.00%,16.00%
Dutch Hawaiian,sativa,70% Leaning,28.30%,15.00%
Dutch Haze,sativa,90%,27.00%,24.00%
Dutch Kush,indica,80% Leaning,25.00%,25.00%
Dutch Queen,sativa,70% Leaning,18.00%,15.00%
Dutch Treat,indica,80% Leaning,30.00%,16.00%
Dynamite,indica,75% Leaning,19.00%,13.00%
Eagle Bill,sativa,70% Leaning,20.00%,19.00%
Early Girl,indica,75% Leaning,20.00%,15.00%
Early Miss,indica,60% Leaning,21.00%,19.00%
Early Pearl,sativa,75% Leaning,24.00%,18.00%
Early Skunk,indica,65% Leaning,22.00%,18.00%
Earth OG,indica,80% Leaning,22.00%,19.00%
Earthquake,hybrid,50%,23.00%,19.00%
East Coast Alien,sativa,70% Leaning,20.00%,18.00%
Eastern European,hybrid,50%,,
Easy Bud,sativa,20%,17.00%,14.00%
Easy Peezy,hybrid,50%,18.00%,16.00%
Ebola #7,indica,75% Leaning,28.00%,27.00%
Ed Rosenthal Super Bud,indica,60% Leaning,19.00%,14.50%
Edelweiss,indica,75% Leaning,21.00%,21.00%
El Jefe,indica,70% Leaning,25.00%,22.00%
El Nino,indica,65% Leaning,15.00%,13.00%
El Perro,hybrid,50%,20.00%,20.00%
El-Na,indica,70% Leaning,10.00%,9.00%
Elderberry,indica,55%,20.00%,18.00%
Eldorado,sativa,100%,20.00%,17.00%
Electric Black Mamba,indica,70% Leaning,24.00%,18.00%
Electric Kool-Aid,sativa,60% Leaning,20.00%,20.00%
Electric Lemon G,sativa,80% Leaning,21.00%,18.00%
Electric Lemonade,sativa,70% Leaning,21.00%,16.00%
Elmer's Glue,indica,60% Leaning,24.00%,18.00%
Elvis,sativa,75% Leaning,22.00%,16.00%
Emerald Jack,sativa,70% Leaning,20.00%,15.00%
Emerald OG,indica,70% Leaning,22.00%,19.00%
Endless Sky,indica,80% Leaning,22.00%,22.00%
Enemy of the State,indica,80% Leaning,14.00%,10.00%
Enigma,sativa,70% Leaning,24.00%,18.00%
Ether,indica,70% Leaning,21.00%,18.00%
Ethiopian,sativa,100%,15.00%,10.00%
Euforia ,sativa,80% Leaning,23.00%,19.00%
Eugene Cream,indica,80% Leaning,16.00%,15.00%
Euphoria,indica,80% Leaning,6.00%,5.00%
Ewok,indica,60% Leaning,19.00%,14.00%
Exile,indica,70% Leaning,18.00%,14.00%
